"EAN","IMG","Price","_type","name"
"4010355217998","https://cdn02.dm-static.com/images/mediacatalog/h4010355217998-1013731/productimage_170x260/1513251264000/4010355217998-1013731_org.png","1,95 €","DmBotItem","Duschschaum Hawaiian Dream"
"4010355218018","https://cdn02.dm-static.com/images/mediacatalog/h4010355218018-1013733/productimage_170x260/1507191617000/4010355218018-1013733_org.png","1,95 €","DmBotItem","Duschschaum Fresh & Fruity"
"4010355141651","https://cdn02.dm-static.com/images/mediacatalog/h4010355141651-1028849/productimage_170x260/1507104957000/4010355141651-1028849_org.png","1,25 €","DmBotItem","Deo Tücher Sensitive"
"4010355320339","https://cdn02.dm-static.com/images/mediacatalog/h4010355320339-1071459/productimage_170x260/1507191048000/4010355320339-1071459_org.png","1,25 €","DmBotItem","Pflegecreme Vaseline"
"4010355247032","https://cdn02.dm-static.com/images/mediacatalog/h4010355247032-1075727/productimage_170x260/1507271013000/4010355247032-1075727_org.png","0,95 €","DmBotItem","Deo Creme Antitranspirant Extra Dry"
"4010355327567","https://cdn02.dm-static.com/images/mediacatalog/h4010355327567-1084348/productimage_170x260/1513386057000/4010355327567-1084348_org.png","0,65 €","DmBotItem","Lippenpflege Cherry Dream"
"4010355320766","https://cdn02.dm-static.com/images/mediacatalog/h4010355320766-1102141/productimage_170x260/1507281035000/4010355320766-1102141_org.png","0,95 €","DmBotItem","Duschgel Schoko Love"
"4010355320742","https://cdn02.dm-static.com/images/mediacatalog/h4010355320742-1104882/productimage_170x260/1507281035000/4010355320742-1104882_org.png","0,95 €","DmBotItem","Duschgel Marshmallow"
"4010355215963","https://cdn02.dm-static.com/images/mediacatalog/h4010355215963-1079064/productimage_170x260/1507271011000/4010355215963-1079064_org.png","0,75 €","DmBotItem","Handcreme Melon Berry"
"4010355274519","https://cdn02.dm-static.com/images/mediacatalog/h4010355274519-1090416/productimage_170x260/1507271010000/4010355274519-1090416_org.png","1,95 €","DmBotItem","Reinigendes Handgel Cocos "
"4010355327581","https://cdn02.dm-static.com/images/mediacatalog/h4010355327581-1125394/productimage_170x260/1513386057000/4010355327581-1125394_org.png","0,65 €","DmBotItem","Lippenpflege Rosé Kiss"
"4010355323118","https://cdn02.dm-static.com/images/mediacatalog/h4010355323118-1129660/productimage_170x260/1507191045000/4010355323118-1129660_org.png","1,95 €","DmBotItem","Duschschaum Sweet Cake"
"4010355323095","https://cdn02.dm-static.com/images/mediacatalog/h4010355323095-1129659/productimage_170x260/1513680896000/4010355323095-1129659_org.png","1,95 €","DmBotItem","Duschschaum Vanilla Cream"
"4010355341136","https://cdn02.dm-static.com/images/mediacatalog/h4010355341136-1157372/productimage_170x260/1507715887000/4010355341136-1157372_org.png","1,95 €","DmBotItem","Körperlotion Dusch-Soft-Öl Balsam"
"4010355319401","https://cdn02.dm-static.com/images/mediacatalog/h4010355319401-1154289/productimage_170x260/1508230659000/4010355319401-1154289_org.png","1,45 €","DmBotItem","Körperlotion Cocos & Sheanuss"
"4010355319142","https://cdn02.dm-static.com/images/mediacatalog/h4010355319142-1154287/productimage_170x260/1508318357000/4010355319142-1154287_org.png","1,75 €","DmBotItem","Körperlotion Bodybalsam Sensitive"
"4010355319425","https://cdn02.dm-static.com/images/mediacatalog/h4010355319425-1183262/productimage_170x260/1511448555000/4010355319425-1183262_org.png","3,95 €","DmBotItem","Körperöl Beauty-Öl"
"4010355319227","https://cdn02.dm-static.com/images/mediacatalog/h4010355319227-1186912/productimage_170x260/1507881453000/4010355319227-1186912_org.png","2,95 €","DmBotItem","Körperlotion BodyFIT hautstraffendes Bodytonic"
